Run_Number,Indentor X Position,Indentor Y Position,Stiffener Rib Angle,Stiffener Rib Height,Stiffener Rib Position,Stiffener Rib Width
154,-31.87498121,-403.1249314,118.4375,8.984375,409.375,34.609375
155,-95.62498121,-134.3749314,118.4375,8.984375,409.375,34.609375
156,-47.81248121,-255.3124314,118.4375,8.984375,409.375,34.609375
157,-111.5624812,-94.06243143,118.4375,8.984375,409.375,34.609375
158,-390.4687312,-396.4061814,118.4375,8.984375,409.375,34.609375
159,-7.968731212,-288.9061814,118.4375,8.984375,409.375,34.609375
160,-71.71873121,-20.15618143,118.4375,8.984375,409.375,34.609375
161,-406.4062312,-167.9686814,118.4375,8.984375,409.375,34.609375
162,-438.2812312,-248.5936814,118.4375,8.984375,409.375,34.609375
163,-183.2812312,-33.59368143,118.4375,8.984375,409.375,34.609375
164,-115.5468562,-366.1718064,118.4375,8.984375,409.375,34.609375
165,-51.79685621,-204.9218064,118.4375,8.984375,409.375,34.609375
166,-83.67185621,-70.54680643,118.4375,8.984375,409.375,34.609375
167,-450.2343562,-379.6093064,118.4375,8.984375,409.375,34.609375
168,-3.984356212,-3.359306429,118.4375,8.984375,409.375,34.609375
169,-418.3593562,-298.9843064,118.4375,8.984375,409.375,34.609375
170,-163.3593562,-83.98430643,118.4375,8.984375,409.375,34.609375
171,-290.8593562,-191.4843064,118.4375,8.984375,409.375,34.609375
172,-354.6093562,-352.7343064,118.4375,8.984375,409.375,34.609375
173,-235.0781062,-157.8905564,118.4375,8.984375,409.375,34.609375
174,-171.3281062,-426.6405564,118.4375,8.984375,409.375,34.609375
175,-139.4531062,-23.51555643,118.4375,8.984375,409.375,34.609375
176,-11.95310621,-346.0155564,118.4375,8.984375,409.375,34.609375
177,-410.3906062,-10.07805643,118.4375,8.984375,409.375,34.609375
178,-314.7656062,-90.70305643,118.4375,8.984375,409.375,34.609375
179,-506.0156062,-144.4530564,118.4375,8.984375,409.375,34.609375
180,-249.0234187,-72.22649393,118.4375,8.984375,409.375,34.609375
181,-376.5234187,-179.7264939,118.4375,8.984375,409.375,34.609375
182,-344.6484187,-260.3514939,118.4375,8.984375,409.375,34.609375
183,-217.1484187,-367.8514939,118.4375,8.984375,409.375,34.609375
184,-472.1484187,-152.8514939,118.4375,8.984375,409.375,34.609375
185,-264.9609187,-300.6639939,118.4375,8.984375,409.375,34.609375
186,-9.960918712,-85.66399393,118.4375,8.984375,409.375,34.609375
187,-488.0859187,-58.78899393,118.4375,8.984375,409.375,34.609375
188,-161.3671687,-347.6952439,118.4375,8.984375,409.375,34.609375
189,-1.992168712,-428.3202439,118.4375,8.984375,409.375,34.609375
190,-320.7421687,-374.5702439,118.4375,8.984375,409.375,34.609375
191,-193.2421687,-267.0702439,118.4375,8.984375,409.375,34.609375
192,-448.2421687,-52.07024393,118.4375,8.984375,409.375,34.609375
193,-336.6796687,-146.1327439,118.4375,8.984375,409.375,34.609375
194,-272.9296687,-414.8827439,118.4375,8.984375,409.375,34.609375
195,-177.3046687,-119.2577439,118.4375,8.984375,409.375,34.609375
196,-304.8046687,-11.75774393,118.4375,8.984375,409.375,34.609375
197,-500.0390437,-344.3358689,118.4375,8.984375,409.375,34.609375
198,-117.5390437,-236.8358689,118.4375,8.984375,409.375,34.609375
199,-80.9325984,-306.7528611,118.4375,8.984375,409.375,34.609375
200,-499.2919734,-289.9559861,118.4375,8.984375,409.375,34.609375
201,-509.9999812,6.86E-05,112.1875,15.546875,421.875,23.671875
202,-254.9999812,-214.9999314,112.1875,15.546875,421.875,23.671875
203,-382.4999812,-107.4999314,112.1875,15.546875,421.875,23.671875
204,-31.87498121,-403.1249314,112.1875,15.546875,421.875,23.671875
205,-95.62498121,-134.3749314,112.1875,15.546875,421.875,23.671875
206,-47.81248121,-255.3124314,112.1875,15.546875,421.875,23.671875
207,-111.5624812,-94.06243143,112.1875,15.546875,421.875,23.671875
208,-390.4687312,-396.4061814,112.1875,15.546875,421.875,23.671875
209,-7.968731212,-288.9061814,112.1875,15.546875,421.875,23.671875
210,-71.71873121,-20.15618143,112.1875,15.546875,421.875,23.671875
