run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
124,2,24,11,-77.3130,555.3432,599.3848,-14.2802,2.0056,1.6502,0.0705,514.8087
125,2,25,11,657.1662,655.3432,722.9742,109.3092,2.0056,-1.5653,0.0000,638.4685
126,2,26,11,565.5359,155.3432,725.3718,111.7068,2.0056,-1.6729,0.0000,640.8661
127,2,27,11,357.7544,755.3432,675.6093,61.9443,2.0056,-0.7090,0.0000,591.1036
128,2,28,11,270.4669,55.3432,691.5633,77.8983,2.0056,-1.1981,0.0000,607.0577
129,2,29,11,-306.7556,55.3432,537.0754,-76.5896,2.0056,1.6502,2.5664,450.0034
130,2,30,11,160.1126,-444.6568,645.6116,31.9466,2.0056,-0.3600,0.0000,561.1059
131,2,31,11,656.8107,-344.6568,722.9409,109.2759,2.0056,-1.5690,0.0000,638.4353
132,2,32,11,66.2616,-344.6568,626.1068,12.4418,2.0056,1.6503,3.3946,538.2066
133,2,33,11,66.6051,655.3432,626.2189,12.5539,2.0056,1.6503,3.4094,538.3038
134,2,34,11,291.0172,-144.6568,687.9254,74.2604,2.0056,-1.0005,0.0000,603.4198
135,2,35,11,171.6919,255.3432,675.8705,62.2055,2.0056,-0.7921,0.0000,591.3648
136,2,36,11,389.9592,455.3432,702.4287,88.7637,2.0056,-1.4117,0.0000,617.9230
137,2,37,11,-23.5537,255.3432,632.8642,19.1992,2.0056,0.6783,0.0000,548.3586
138,2,38,11,481.3422,-544.6568,694.1494,80.4844,2.0056,-1.5308,0.0000,609.6437
139,2,39,11,556.6876,755.3432,696.0364,82.3714,2.0056,0.8348,0.0000,611.5308
140,2,40,11,-2.7459,-144.6568,627.7982,14.1332,2.0056,0.9576,0.0000,543.2926
141,2,41,11,357.7543,-444.6568,675.6092,61.9442,2.0056,-0.7091,0.0000,591.1036
142,2,42,11,283.5723,855.3432,665.5166,51.8516,2.0056,-0.9840,0.0000,581.0110
143,2,43,11,-193.0211,455.3432,567.9550,-45.7100,2.0056,1.6501,1.5423,481.9070
144,2,44,11,468.9423,255.3432,715.9602,102.2952,2.0056,-1.7589,0.0000,631.4546
145,2,45,11,-217.2723,155.3432,575.3034,-38.3616,2.0056,1.6502,1.5384,489.2593
146,2,46,11,468.9599,55.3432,715.9621,102.2971,2.0056,-1.7614,0.0000,631.4564
147,2,47,11,457.9314,-344.6568,701.9258,88.2608,2.0056,-0.9385,0.0000,617.4202
148,2,48,11,458.2863,655.3432,701.9652,88.3002,2.0056,-1.1187,0.0000,617.4596
