Time,A1,A2,A3,A(mm/s2),A(in g)
0.005230381504983993,385954.9557012932,104476.80004105011,1293298.2175095114,1353697.4953769033,138.13239748743914
0.005255407253811667,378417.9420136678,98322.16754042564,1283999.4927274669,1342207.9141445137,136.9599912392361
0.005280433002639342,370864.7627357592,92199.30476367756,1274374.8360110715,1330440.7565522972,135.7592608726834
0.005305458751467017,363301.05686291016,86128.76878943291,1264390.8574596923,1318366.437359375,134.5271874856505
0.005330484500294691,355688.7435461732,80126.41680764931,1253995.6361132667,1305924.8754600638,133.25764035306773
0.005355510249122366,347944.10398112633,74207.38294986107,1243193.909985163,1293098.1915553948,131.94879505667294
0.005380535997950041,339947.0415961521,68385.95085656988,1232087.1675994967,1279952.8967621143,130.6074384451137
0.005405561746777715,331564.7735027198,62673.05679611296,1220861.6861503823,1266635.846557749,129.24855577119888
0.00543058749560539,322683.128309015,57067.32705496825,1209725.5381230875,1253322.3682278143,127.89003757426678
0.005455613244433065,313237.02511384443,51546.89477108934,1198855.113858691,1240172.6090701574,126.54822541532218
0.005480638993260739,303226.3011445643,46070.09543546862,1188371.570826026,1227312.3619297089,125.2359552989499
0.005505664742088414,292725.539932369,40580.37308784193,1178313.9106866368,1214808.0838210147,123.96000855316478
0.005530690490916088,281897.6504803724,35012.50458322495,1168632.8900939042,1202661.6284861364,122.72057433532005
0.005555716239743763,270979.54496448475,29301.70953567291,1159210.2886540582,1190821.983880167,121.5124473347109
0.0055807419885714376,260237.5170744316,23395.228073002716,1149888.8982200518,1179201.1619054568,120.32664917402623
0.005605767737399112,249910.6578904891,17262.05148946759,1140514.7267984052,1167701.6559852604,119.15323020257759
0.0056307934862267865,240151.4432728241,10897.203528315365,1130995.1523958186,1156261.8645842671,117.98590454941505
0.0056558192350544614,230997.96596120417,4325.079015095112,1121351.546645487,1144905.261474048,116.82706749735186
0.0056808449838821355,222402.7003424188,-2407.690439882451,1111684.1948574441,1133715.3554529864,115.68524035234556
0.00570587073270981,214293.88024089107,-9241.631416394048,1102075.635199261,1122754.6395176714,114.56679995078282
0.005730896481537485,206591.784613244,-16111.2592881906,1092558.784649427,1112036.1667042612,113.4730782351287
0.005755922230365159,199211.23242522677,-22950.928654673182,1083125.0727303536,1101531.5626109645,112.40117985826168
0.005780947979192834,192080.00082832726,-29700.076483985227,1073735.2752858375,1091184.7976651804,111.3453875168551
0.005805973728020509,185145.57357713507,-36310.45519665312,1064349.0475428915,1080942.2868856648,110.30023335568008
0.005830999476848183,178366.19482928351,-42750.081689217455,1054959.5181426364,1070785.531216056,109.26382971592408
0.005856025225675858,171714.57938092548,-49001.31422358371,1045598.8281966881,1060737.4487091238,108.23851517440039
0.005881050974503532,165188.50633346965,-55058.35628080098,1036337.9694718883,1050863.9551252667,107.23101582910884
0.005906076723331207,158812.29799938138,-60922.33251260439,1027286.7891902983,1041273.7506729921,106.25242353806041
0.005931102472158882,152616.31932616307,-66596.45929736966,1018610.678642194,1032131.0691764605,105.31949685474083
0.005956128220986556,146632.67429011417,-72080.23270295694,1010520.3144003862,1023644.4729161719,104.45351764450733
0.005981153969814231,140901.98510446554,-77366.21525864264,1003242.5685695221,1016038.656774382,103.67741395656958
0.006006179718641906,135474.99075367404,-82439.24368722686,996994.2462345536,1009528.2210197774,103.01308377752831
0.00603120546746958,130419.82753187799,-87279.18274076135,991942.465094382,1004279.2645527608,102.47747597477151
0.006056231216297255,125833.76777204602,-91862.68500887931,988155.8618074023,1000362.3829559026,102.07779417917374
0.00608125696512493,121824.21249236344,-96161.10298755516,985618.8660354548,997763.82253639,101.81263495269285
0.006106282713952604,118489.61614116053,-100137.91709469016,984265.8542225529,996416.9124226123,101.67519514516452
0.006131308462780279,115902.79492994853,-103751.58996815827,984005.3924342738,996225.10640486,101.65562310253674
0.006156334211607954,114099.1776948899,-106962.70075894435,984728.2281658406,997070.3711628756,101.7418746084567
0.006181359960435628,113061.30542059572,-109747.1437388507,986294.4282282529,998801.2782811625,101.91849778379209
0.006206385709263303,112714.8592952524,-112106.55546404506,988525.7910171743,1001227.126475378,102.1660333138141
